Location,lat,lon,CowTagID,Top_Plate_ID,Bottom_Plate_ID,Jamie_Plate_ID,Plate_Seep,Date,Time,DateTime,Tide,Day_Night,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,M_C,HIX,MarineHumic_Like,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like,Lignin_Like,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,OmegaAragonite,OmegaCalcite
Varari,-17.54024902,-149.900454,V4,V4,V24,J4,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.4,28.4,2325.926623,8.070973742992923,0.24,3.01,0.65,0.5,1.617243898,1.349167743,0.024082185,0.01489088,0.046861748,0.084944537,0.017607641,9.434909184267351,363.6737507245959,364.7909181176865,363.6737507245959,364.7909181176865,363.6737507245959,364.7909195742028,1701.7842149681849,253.17902423756007,1964.398148390012,4.044408077770946,6.05766704101595
Varari,-17.54024902,-149.900454,V4,V4,V24,J4,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.46,27.27,2359.559769,8.01433738860097,0.21,0.85,0.29,0.02,1.410055099,0.821767533,0.006230967,0.004418953,0.013598767,0.007150657,0,11.624534436197546,436.29074857007055,437.6495003750022,436.29074857007055,437.6495003750022,436.29074857007055,437.6495025209985,1803.440986607995,226.35084065038836,2041.4163616945814,3.5937170706168207,5.402233124840344
Varari,-17.54024902,-149.900454,V4,V4,V24,J4,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.53,27.39,2362.8142,8.044605893390623,0.24,1.55,1.06,1.07,2.008484641,0.754337072,0.02021093699999999,0.010062779,0.070038984,0.162528997,0.037496624,10.62922602693163,400.2323146414623,401.47690972135894,400.2323146414623,401.47690972135894,400.2323146414623,401.4769115227866,1772.8890442426382,239.99188027339144,2023.510150542961,3.8104840286171293,5.725371731487167
Varari,-17.54025003,-149.900336,V5,V5,V25,J5,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.5,27.69,2351.4013,8.054822604220275,0.2,0.86,0.47,0.24,1.258483424,0.621678871,0.00856146,0.006802997,0.032830997,0.028985754,0.06608151,10.187895716942041,386.325827370524,387.5228129288569,386.325827370524,387.5228129288569,386.325827370524,387.52281459685355,1748.9955573748066,244.88360853268642,2004.0670616244352,3.894830363657761,5.846593615958692
Varari,-17.54025003,-149.900336,V5,V5,V25,J5,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.46,26.97,2321.38849,8.037827757584502,0.19,0.89,0.48,0.04,1.494864704,0.44089073,0.011973572,0.008009803,0.03786053,0.028092611,0.042929329,10.773282154885033,401.4187916938417,402.673435610517,401.4187916938417,402.673435610517,401.4187916938417,402.6734374385135,1754.45677671269,229.91993328345708,1995.1499921510322,3.645057218088758,5.48471553462459
Varari,-17.54025003,-149.900336,V5,V5,V25,J5,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.23,28.28,2360.225293,8.061337258650727,0.25,5.43,1.05,0.46,1.39766217,1.440397641,0.016105247,0.01152299,0.021805307,0.031946161,0.032471409,9.910662248252198,380.6035553408186,381.77444322190934,380.6035553408186,381.77444322190934,380.6035553408186,381.77444482116795,1742.3907958611023,251.48119733488406,2003.7826554442388,4.020097662512234,6.024980605283995
Varari,-17.54025003,-149.900336,V5,V5,V25,J5,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.43,27.11,2360.157091,8.004747380638479,0.23,0.88,0.27,0.08,1.400620664,0.663889765,0.007476344,0.00533788,0.024604189,0.016642854,0.019777034,12.005200888902067,448.77141560383967,450.17176384562345,448.77141560383967,450.17176384562345,448.77141560383967,450.171766123714,1816.0218442799658,221.5118095779824,2049.53885474685,3.514948361137654,5.286751434564901
Varari,-17.54025003,-149.900336,V5,V5,V25,J5,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.39,27.25,2366.352432,8.030467444184145,0.2,1.05,0.47,0.31,2.371370349,0.553699175,0.028198568,0.011891254,0.120762872,0.265873203,0.049064649,11.151205563928158,418.17466803543454,419.4772880069059,418.17466803543454,419.4772880069059,418.17466803543454,419.4772899791989,1793.8901066547467,233.13954975336932,2038.180861972044,3.703118416351203,5.567530896775644
Varari,-17.54002498,-149.900106,V6,V6,V26,J6,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.49,27.91,2322.780484,8.059622827798533,0.21,2.13,0.45,0.4,1.158443115,0.974673795,0.011309068,0.009762299,0.024520971,0.028481338,0.039907185,9.859447427338026,375.82014950779813,376.9814830730008,375.82014950779813,376.9814830730008,375.82014950779813,376.98148464432194,1718.2159658748596,245.1409341480744,1973.216347450272,3.9035206882964184,5.855480643546259
Varari,-17.54002498,-149.900106,V6,V6,V26,J6,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.38,27.24,2331.278996,8.028682838584693,0.18,1.05,0.51,0.12,1.373676741,0.987275461,0.013468593,0.009804776,0.021956547,0.016679308,0.035594724,11.039020734862257,413.8467118766902,415.1359996150708,413.8467118766902,415.1359996150708,413.8467118766902,415.13600154714976,1768.1035748156846,228.71200664841174,2007.8546021989584,3.6328914761281594,5.462191454120911
Varari,-17.54002498,-149.900106,V6,V6,V26,J6,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.31,28.52,2337.707262,8.059424218921583,0.25,5,0.92,0.37,2.12866465,1.195996653,0.027879767,0.013097303,0.059585795,0.10243097,0.046302986,9.790016955917691,378.25860740528725,379.41892050398246,378.25860740528725,379.41892050398246,378.25860740528725,379.41892207575603,1722.0974980485942,250.06114211865028,1981.948657123162,3.999878249640568,5.98926719610508
Varari,-17.54002498,-149.900106,V6,V6,V26,J6,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.36,27.15,2373.785598,7.976489131575115,0.21,1.03,0.28,0.02,1.488436675,1.058939713,0.008757901,0.005883959,0.013169584,0.004520669,0.024743734,13.078532188662667,489.1923031058045,490.7181140215226,489.1923031058045,490.7181140215226,489.1923031058045,490.71811672624057,1854.1864504860998,211.89830425528365,2079.163286930046,3.3648499292166973,5.06077821506689
Varari,-17.54002498,-149.900106,V6,V6,V26,J6,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.51,27.31,2365.266839,8.019453650498878,0.21,2.47,0.57,0.43,1.802952156,0.606004684,0.02052147,0.011382149,0.091840431,0.221335883,0.03677976,11.464718704877109,430.8174229698965,432.15847181501346,430.8174229698965,432.15847181501346,430.8174229698965,432.15847390576516,1801.7118169855326,229.40029569097968,2042.5768313813894,3.6414475313321297,5.472941938982667
Varari,-17.54004803,-149.899985,V7,V7,V27,J7,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.42,27.76,2344.001217,8.046785364253866,0.21,2.84,0.57,0.36,1.367860544,1.331952877,0.013709869,0.010022856,0.021462661,0.044869412,0.027912181,10.384074810331494,394.26413043729633,395.48469147384844,394.26413043729633,395.48469147384844,394.26413043729633,395.48469320857913,1751.2202560720516,240.8832042429647,2002.4875351253474,3.834914957381688,5.755901121002644
Varari,-17.54004803,-149.899985,V7,V7,V27,J7,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,NA,NA,NA,NA,0.23,1.01,0.54,0.31,1.552680305,1.019145321,0.014831362,0.009552103,0.024843472,0.051916732,0.034044839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varari,-17.54004803,-149.899985,V7,V7,V27,J7,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.26,28.34,2337.447513,8.077050143338493,0.25,4,0.83,0.46,1.811538995,1.190012818,0.022473074,0.012405515,0.051235693,0.103948914,0.039610815,9.350985400746197,359.6743160014907,360.779990922127,359.6743160014907,360.779990922127,359.6743160014907,360.77999234855594,1706.798605443123,256.1461063018108,1972.29569714568,4.094987354323434,6.135755115996678
Varari,-17.54004803,-149.899985,V7,V7,V27,J7,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.43,26.89,2365.774319,7.996031871103032,0.24,1.2,0.58,0.21,2.052307962,0.453994651,0.019892115,0.009692559,0.066651265,0.214861286,0.014147095,12.408518361744818,461.38093577799856,462.8244906781799,461.38093577799856,462.8244906781799,461.38093577799856,462.8244930971201,1832.2114559978609,217.30041241508533,2061.920386774691,3.4444480756762257,5.184379905460298
Varari,-17.54004803,-149.899985,V7,V7,V27,J7,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.48,27.08,2371.959181,8.01812400991907,0.22,2.47,0.92,0.7,1.740258828,0.625425117,0.024268715,0.013945463,0.102023191,0.257089965,0.057045333,11.619061526419793,434.1326813112641,435.4878195427107,434.1326813112641,435.4878195427107,434.1326813112641,435.48782167592793,1812.236091104017,227.96857491434892,2051.823727544786,3.6154957446980287,5.438176758660094
Varari,-17.54014903,-149.899896,V8,V8,V28,J8,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.45,27.7,2330.074396,8.055299748971068,0.21,1.56,0.49,0.26,1.196935539,0.956642163,0.009580852,0.008004485,0.017713338,0.021027037,0.014568106,10.080916299758828,382.26349043340326,383.447740744079,382.26349043340326,383.447740744079,382.26349043340326,383.4477423768412,1732.2222966822326,242.62079053437324,1984.9240035163646,3.8605255350143066,5.795263712881577
Varari,-17.54014903,-149.899896,V8,V8,V28,J8,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.43,27.03,2321.38849,8.050802683943452,0.19,0.77,0.46,0.2,1.346476089,0.638370804,0.01353706,0.010053695,0.037892793,0.03264814,0.048315636,10.365920097851427,386.7430788611062,387.9509553717024,386.7430788611062,387.9509553717024,386.7430788611062,387.95095706636334,1740.8776912885928,235.41601748005706,1986.6596288665014,3.7341280713040574,5.617862069417118
Varari,-17.54014903,-149.899896,V8,V8,V28,J8,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.04,28.31,2351.074413,8.054498219191254,0.26,8.28,1.34,0.42,1.821153334,1.483817535,0.025616251,0.01406595,0.052907474,0.078594957,0.034501472,10.086574106647413,387.2622833911772,388.4532350142983,387.2622833911772,388.4532350142983,387.2622833911772,388.4532366689775,1744.0964705308459,247.01274976588724,2001.1957944033807,3.9550219727959988,5.928383464586096
Varari,-17.54014903,-149.899896,V8,V8,V28,J8,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.45,27.02,2325.878993,7.993566708932241,0.21,1.87,0.35,0.19,1.33518977,0.978150884,0.009152343,0.006854713,0.018092596,0.004904895,0.022073475,12.229530578986216,456.2087902359615,457.6339095774379,456.2087902359615,457.6339095774379,456.2087902359615,457.63391193606964,1800.1823951539031,213.3943851322941,2025.8063108651836,3.3841448329432233,5.091364116807525
Varari,-17.54014903,-149.899896,V8,V8,V28,J8,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.56,27.2,2363.226902,7.966032784507494,0.19,1.27,0.54,0.54,2.213546012,0.711166276,0.028271018,0.012771823,0.088466478,0.230293006,0.045692044,13.353567998678393,500.5941923633344,502.15464293220464,500.5941923633344,502.15464293220464,500.5941923633344,502.1546457615392,1852.5482817467737,207.97071333701723,2073.8725630824697,3.2982359104242662,4.958578963726649
Varari,-17.540245,-149.899765,V9,V9,V29,J9,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.4,27.83,2348.711385,8.042205905527108,0.22,1.01,0.53,0.21,NA,NA,NA,NA,NA,NA,NA,10.52752002719186,400.3383415329173,401.5766693937782,400.3383415329173,401.5766693937782,400.3383415329173,401.57667117977905,1758.7893727460546,239.8883935502331,2009.2052863234796,3.8210079165962707,5.733854502265973
Varari,-17.540245,-149.899765,V9,V9,V29,J9,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.45,27.16,2318.333575,8.045853402513421,0.22,0.97,0.49,0.18,1.271206005,1.0095658,0.011560786,0.009094345,0.017050919,0.021583978,0.030448666,10.459591859675957,391.5072745823601,392.7281155963684,391.5072745823601,392.7281155963684,391.5072745823601,392.7281173283582,1741.1618500113836,233.99308243330313,1985.6145243043632,3.7133387042673065,5.584107800530641
Varari,-17.540245,-149.899765,V9,V9,V29,J9,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.47,28.44,2357.074012,8.069159867538033,0.24,2.37,0.66,0.36,1.77736362,0.964804811,0.018882694,0.01062399,0.04895334,0.104505399,0.015384526,9.598795177778673,370.4708433029168,371.6083517719327,370.4708433029168,371.6083517719327,370.4708433029168,371.6083532821517,1726.2570948788916,256.51758096836767,1992.373471025038,4.0963405484165065,6.134094058810161
Varari,-17.540245,-149.899765,V9,V9,V29,J9,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.55,27.15,2386.919044,8.006005444651521,0.21,1.67,0.45,0.16,1.850859378,0.55671294,0.017570695,0.009493263,0.054027823,0.17632724,0.035520534,12.071958504334773,451.9803728498262,453.3900572774812,451.9803728498262,453.3900572774812,451.9803728498262,453.3900595863501,1834.3746517380912,225.32430296536077,2071.7709132077866,3.5728549120753943,5.372374215634478
Varari,-17.540245,-149.899765,V9,V9,V29,J9,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.38,27.34,2372.370084,8.034552341814091,0.22,1.09,0.55,0.45,2.160899504,0.580085007,0.022209779,0.010278025,0.075029142,0.205488379,0.023875145,11.025080656626914,414.3217354500152,415.610944141654,414.3217354500152,415.610944141654,414.3217354500152,415.610946074155,1793.2178807635764,235.97255834671122,2040.2155197669147,3.750061206911015,5.6365351172487355
Varari,-17.54030501,-149.899788,V10,V10,V30,J10,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.46,27.61,2344.595953,8.046439224613291,0.21,1.01,0.46,0.26,1.404851927,0.956533091,0.009320394,0.006634432,0.016456198,0.024559381,0.034827562,10.4347795056645,394.85043911006716,396.0750315926443,394.85043911006716,396.0750315926443,394.85043911006716,396.0750333379619,1754.0381265432682,239.9836057336969,2004.4565117826296,3.8165577860057134,5.730876673018539
Varari,-17.54030501,-149.899788,V10,V10,V30,J10,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.36,26.94,2303.174091,8.042455982102792,0.22,0.88,0.45,0.3,1.417113161,0.880459996,0.011381773,0.008031661,0.016985235,0.026951035,0.015420618,10.566586254116924,393.22957107351874,394.45905414024,393.22957107351874,394.45905414024,393.22957107351874,394.4590558955035,1736.9925054346324,229.30955679694742,1976.8686484856962,3.63761449152818,5.474717852983954
Varari,-17.54030501,-149.899788,V10,V10,V30,J10,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.33,28.21,2320.743508,8.073040793958357,0.21,3.66,0.65,0.26,1.346338697,1.639078577,0.0126503,0.009396076,0.017216239,0.037621888,0.029029551,9.414978027390676,361.1514447119241,362.2634022450041,361.1514447119241,362.2634022450041,361.1514447119241,362.263403687055,1699.545487719986,251.9204587307319,1960.880924478109,4.022569472516899,6.029298032124282
Varari,-17.54030501,-149.899788,V10,V10,V30,J10,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.5,27.01,2361.302189,8.000834846134149,0.21,1.59,0.3,0.03,1.349388181,0.855556731,0.0067023,0.004966918,0.01344582,0.005800807,0.001616076,12.166617583368442,453.8679013562782,455.285875907046,453.8679013562782,455.285875907046,453.8679013562782,455.2858782420187,1821.467262545103,219.72490002913852,2053.35878015761,3.483039334988611,5.239999769523189
Varari,-17.54030501,-149.899788,V10,V10,V30,J10,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.28,27.2,2363.270608,8.037549314461437,0.22,1.56,0.62,0.43,2.490372694,0.811943713,0.024584742,0.009871913,0.062482747,0.172610166,0.045644016,10.943343263570634,409.6547760244986,410.93161560468303,409.6547760244986,410.93161560468303,409.6547760244986,410.93161749939094,1786.2938062161095,234.96523500678433,2032.2023844864643,3.7343203660423057,5.6161288247025265
Varari,-17.54019303,-149.900068,V11,V11,V31,J11,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.43,27.68,2308.380986,8.05364284248099,0.21,1.13,0.51,0.36,1.249524726,0.79708875,0.009337141,0.007472554,0.021933344,0.023632386,0.039605683,10.0387604456108,380.4442441643054,381.62314056186943,380.4442441643054,381.62314056186943,380.4442441643054,381.62314217979826,1717.5285806094623,239.36674894846152,1966.9340900035347,3.808955668252643,5.718364872319208
Varari,-17.54019303,-149.900068,V11,V11,V31,J11,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.45,26.97,2369.654389,8.039977710288579,0.21,0.66,0.34,1.02,1.41454055,0.85612735,0.011716139,0.008282646,0.017209305,0.024493523,0.021257588,10.941876692447211,407.67987706039594,408.954099411862,407.67987706039594,408.954099411862,407.67987706039594,408.954101297329,1790.6258520337535,235.77212593805507,2037.339854664256,3.7381203266924388,5.624815984801095
Varari,-17.54019303,-149.900068,V11,V11,V31,J11,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.12,28.25,2348.0235,8.052527751697522,0.23,7.61,1.11,0.39,1.813311761,1.179346188,0.022315176,0.01230631,0.051296246,0.089774296,0.032995772,10.136035237503457,388.76622791847166,389.9626710984553,388.76622791847166,389.9626710984553,388.76622791847166,389.9626727680874,1743.8557298188043,245.7670036191353,1999.758768675443,3.9314591659046365,5.89358944049474
Varari,-17.54019303,-149.900068,V11,V11,V31,J11,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.48,27.07,2370.288749,8.00400430139514,0.21,0.88,0.34,0.07,1.330857056,1.042656963,0.006613251,0.004969167,0.009935946,0.003863342,0.009645288,12.089617924253261,451.6051566767474,453.01503415911696,451.6051566767474,453.01503415911696,451.6051566767474,453.01503646798614,1824.970220217432,222.14593199531603,2059.2057701370013,3.5229798047752716,5.299191509533401
Varari,-17.54019303,-149.900068,V11,V11,V31,J11,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.53,27.24,2360.976262,8.030577582844687,0.2,1.04,0.5,0.42,1.56160307,0.614996815,0.017949841,0.011494496,0.075195109,0.203995812,0.050176744,11.103170910707624,416.57026559134744,417.86804232940835,416.57026559134744,417.86804232940835,416.57026559134744,417.86804428700225,1788.1019942228947,233.08413742465513,2032.2893025582575,3.6980883432874063,5.559197756502008
