CowTagID,SeepCode,Tide,Day_Night,Date,Salinity_In_Lab,SamplingTime,TempInLab,mV,Notes,TempInSitu,TA,TrisCalDate,No_Junk_Run,Salinity,Salinity_Calibration_Date
V18,,Low,Day,3/21/22,36.6,08:00,28.32,-73.1,,29.48,,3/20/22,,36.51,4/7/22
V19,,Low,Day,3/21/22,36.6,08:00,28.42,-74.9,,27.5,,3/20/22,,36.57,4/7/22
V20,,Low,Day,3/21/22,36.6,08:00,28.5,-72.7,,28.52,,3/20/22,,36.5,4/7/22
VSEEP,C,Mid,Day,3/21/22,36.1,11:00,29.96,-76.1,,,,3/20/22,,36.01,4/5/22
VSEEP,D,High,Day,3/21/22,36.5,14:00,28.83,-78.6,Overcast,,,3/20/22,,36.62,4/5/22
V1,,High,Day,3/21/22,36.6,14:00,28.72,-79.4,Overcast,30.05,,3/20/22,,36.66,4/7/22
V2,,High,Day,3/21/22,36.6,14:00,28.73,-79.8,Overcast,29.9,,3/20/22,,36.69,4/7/22
V3,,High,Day,3/21/22,36.6,14:00,28.7,-80.2,Overcast,30.03,,3/20/22,,36.65,4/7/22
V4,,High,Day,3/21/22,36.6,14:00,28.82,-80.4,Overcast,28.37,,3/20/22,,36.62,4/7/22
V5,,High,Day,3/21/22,36.6,14:00,28.76,-80.3,Overcast,30.21,,3/20/22,,36.61,4/7/22
V6,,High,Day,3/21/22,36.6,14:00,28.74,-79.2,Overcast,30.37,,3/20/22,,36.66,4/7/22
V7,,High,Day,3/21/22,36.6,14:00,28.77,-79,Overcast,,,3/20/22,,36.62,4/7/22
V8,,High,Day,3/21/22,36.6,14:00,28.8,-79.4,Overcast,,,3/20/22,,36.62,4/7/22
V9,,High,Day,3/21/22,36.6,14:00,28.6,-79.7,Overcast,,,3/20/22,,36.6,4/7/22
V10,,High,Day,3/21/22,36.6,14:00,28.69,-80.1,Overcast,,,3/20/22,,36.61,4/7/22
V11,,High,Day,3/21/22,36.6,14:00,28.6,-80,Overcast,,,3/20/22,,36.67,4/7/22
V12,,High,Day,3/21/22,36.6,14:00,28.86,-80.3,Overcast,,,3/20/22,,36.58,4/7/22
V13,,High,Day,3/21/22,36.6,14:00,28.72,-79.6,Overcast,,,3/20/22,,36.59,4/7/22
V14,,High,Day,3/21/22,36.5,14:00,28.152,-78.6,Overcast,,,3/20/22,,36.53,4/7/22
V15,,High,Day,3/21/22,36.6,14:00,28.56,-79.7,Overcast,,,3/20/22,,36.59,4/7/22
V16,,High,Day,3/21/22,36.6,14:00,28.69,-80.6,Overcast,,,3/20/22,,36.59,4/7/22
V17,,High,Day,3/21/22,36.6,14:00,28.57,-78.7,Overcast,,,3/20/22,,36.59,4/7/22
V18,,High,Day,3/21/22,36.5,14:00,28.73,-79.6,Overcast,,,3/20/22,,36.56,4/7/22
V19,,High,Day,3/21/22,36.6,14:00,28.4,-80.4,Overcast,,,3/20/22,,36.58,4/7/22
V20,,High,Day,3/21/22,36.6,14:00,28.71,-79.5,Overcast,29.17,,3/20/22,,36.62,4/7/22
VSEEP,E,Mid,Day,3/21/22,35.3,17:00,28.407,-70.6,,,,3/20/22,,35.47,4/5/22
VSEEP,F,Low,Night,3/21/22,15.1,20:00,26.02,-24.7,,,,3/20/22,,15.06,4/5/22
V1,,Low,Night,3/21/22,36.2,20:00,27.62,-74.4,,29.67,,3/20/22,,36.48,4/5/22
V2,,Low,Night,3/21/22,36.4,20:00,27.73,-75.4,,29.48,,3/20/22,,36.54,4/5/22
V3,,Low,Night,3/21/22,36.6,20:00,27.52,-76.2,,29.62,,3/20/22,,36.7,4/5/22
V4,,Low,Night,3/21/22,36.6,20:00,27.8,-76.8,,27.9,,3/20/22,,36.75,4/5/22
V5,,Low,Night,3/21/22,36.5,20:00,27.74,-76.5,,29.72,,3/20/22,,36.68,4/5/22
V6,,Low,Night,3/21/22,36.4,20:00,27.45,-77.1,,30.01,,3/20/22,,36.47,4/5/22
V7,,Low,Night,3/21/22,36.4,20:00,27.49,-77.4,,,,3/20/22,,36.55,4/5/22
V8,,Low,Night,3/21/22,36.4,20:00,27.69,-77.1,,,,3/20/22,,36.54,4/5/22
V9,,Low,Night,3/21/22,36.6,20:00,27.4,-77.4,,,,3/20/22,,36.7,4/5/22
V10,,Low,Night,3/21/22,36.6,20:00,27.4,-77.7,,,,3/20/22,,36.74,4/5/22
V11,,Low,Night,3/21/22,36.5,20:00,27.07,-77.2,,,,3/20/22,,36.61,4/5/22
V12,,Low,Night,3/21/22,36.6,20:00,27.3,-77.4,,,,3/20/22,,36.77,4/5/22
V13,,Low,Night,3/21/22,36.6,20:00,27.35,-77.4,,,,3/20/22,,36.72,4/5/22
V14,,Low,Night,3/21/22,36.5,20:00,27.36,-78.6,,,,3/20/22,,36.64,4/5/22
V15,,Low,Night,3/21/22,36.4,20:00,27.09,-77.2,,,,3/20/22,,36.54,4/5/22
V16,,Low,Night,3/21/22,36.6,20:00,26.9,-77.7,,,,3/20/22,,36.68,4/5/22
V17,,Low,Night,3/21/22,36.5,20:00,27.16,-78.1,,,,3/20/22,,36.69,4/5/22
V18,,Low,Night,3/21/22,36.1,20:00,27.1,-77,,,,3/20/22,,36.19,4/5/22
V19,,Low,Night,3/21/22,36.6,20:00,26.93,-78.1,,,,3/20/22,,36.75,4/5/22
V20,,Low,Night,3/21/22,36.6,20:00,27,-77.7,,29.45,,3/20/22,,36.73,4/5/22
VSEEP,F2,Mid,Night,3/21/22,21.3,21:45,26.02,-35.9,,,,3/20/22,,21.43,4/5/22
VSEEP,G,Mid,Night,3/21/22,34.9,23:00,27.72,-69.7,,,,3/20/22,,35.18,4/5/22
VSEEP,H,High,Night,3/22/22,36.6,02:00,26.88,-73.2,,,,3/20/22,,36.65,4/5/22
V1,,High,Night,3/22/22,36.6,02:00,27.25,-72.9,,29.13,,3/20/22,,36.85,4/5/22
V2,,High,Night,3/22/22,36.6,02:00,27.26,-73,,29.01,,3/20/22,,36.85,4/5/22
V3,,High,Night,3/22/22,36.7,02:00,27.32,-73.5,,29.21,,3/20/22,,36.77,4/5/22
V4,,High,Night,3/22/22,36.7,02:00,27.38,-74,,27.53,,3/20/22,,36.8,4/5/22
V5,,High,Night,3/22/22,36.6,02:00,27.25,-73.9,,29.31,,3/20/22,,36.8,4/5/22
V6,,High,Night,3/22/22,36.6,02:00,27.11,-73.2,,29.42,,3/20/22,,36.78,4/5/22
V7,,High,Night,3/22/22,36.6,02:00,27.016,-73.5,,,,3/20/22,,36.8,4/5/22
V8,,High,Night,3/22/22,36.6,02:00,27.28,-73.9,,,,3/20/22,,36.77,4/5/22
V9,,High,Night,3/22/22,36.6,02:00,27.21,-73.7,,,,3/20/22,,36.82,4/5/22
V10,,High,Night,3/22/22,36.6,02:00,27,-73.9,,,,3/20/22,,36.83,4/5/22
V11,,High,Night,3/22/22,36.6,02:00,26.95,-73.7,,,,3/20/22,,36.75,4/5/22
V12,,High,Night,3/22/22,36.6,02:00,26.99,-73.9,,,,3/20/22,,36.82,4/5/22
V13,,High,Night,3/22/22,36.6,02:00,27.01,-73.5,,,,3/20/22,,36.76,4/5/22
V14,,High,Night,3/22/22,36.6,02:00,27.15,-73.7,,,,3/20/22,,36.76,4/5/22
V15,,High,Night,3/22/22,36.6,02:00,26.78,-73.7,,,,3/20/22,,36.86,4/5/22
V16,,High,Night,3/22/22,36.7,02:00,26.69,-74.5,,,,3/20/22,,36.82,4/5/22
V17,,High,Night,3/22/22,36.6,02:00,26.15,-74.6,,,,3/20/22,,36.78,4/5/22
V18,,High,Night,3/22/22,36.6,02:00,26.65,-73.8,,,,3/20/22,,36.86,4/5/22
V19,,High,Night,3/22/22,36.6,02:00,26.58,-74.5,,,,3/20/22,,36.84,4/5/22
V20,,High,Night,3/22/22,36.6,02:00,26.62,-73.7,,,,3/20/22,,36.8,4/5/22
VSPRING,,NA,Day,3/26/22,3.11,16:30,28.7,-28.4,PVC pounded 73 cm into sediment near seep - killed/filtered,25.3,,3/20/22,,2.825,4/7/22
VSPRING,,NA,Day,3/26/22,3.11,16:30,28.7,-28.4,PVC pounded 73 cm into sediment near seep - fridge/filtered,25.3,,3/20/22,,2.823,4/7/22
VRC,A,Mid,Night,3/26/22,36.3,20:00,28.54,-72.6,,,,3/20/22,,36.25,4/7/22
VRC,B,Mid,Night,3/27/22,36.4,02:00,28.6,-75.7,,,,3/20/22,,36.29,4/7/22
VRC,C,Mid,Day,3/27/22,36.2,08:00,28.6,-78,,,,3/20/22,,36.3,4/7/22
VRC,D,Mid,Day,3/27/22,36.5,14:00,28.17,-77.1,,,,3/20/22,,36.34,4/7/22
VRC,E,Mid,Night,3/28/22,NA,20:00,NA,NA,SAS BROKE,,,3/20/22,,NA,NA
VRC,F,Mid,Night,3/28/22,NA,02:00,NA,NA,SAS BROKE,,,3/20/22,,NA,NA
VRC,G,Mid,Day,3/28/22,36.3,08:00,28.61,-74,,,,3/20/22,,36.67,4/7/22
VRC,H,Mid,Day,3/28/22,36.6,14:00,28.984,-77.9,,,,3/20/22,,36.58,4/7/22
VSEEP,I,Low,Day,3/28/22,18.8,17:00,29.058,-27,,,,3/20/22,,36.67,4/7/22
VSEEP,J,Low,Night,3/28/22,15.9,18:00,27.49,-20.7,,,,3/20/22,,36.67,4/7/22
VSEEP,K,Low,Night,3/28/22,29.1,19:00,27.608,-59.2,,,,3/20/22,,36.66,4/5/22
VSEEP,L,Low,Day,3/29/22,21.2,07:00,26.14,-25.4,,,,3/29/22,,36.7,4/5/22
VSEEP,M,Low,Day,3/29/22,20.3,08:00,27.035,-27.5,,,,3/29/22,,36.6,4/5/22
VSEEP,N,Low,Day,3/29/22,27.4,09:00,28.604,-45.8,,,,3/29/22,,27.64,4/5/22
VSEEP,O,High,Day,3/29/22,36.4,11:00,30.216,-73,,,,3/29/22,,36.64,4/5/22
VRC,K,Low,Day,3/29/22,36.3,08:00,28.916,-78,,,,3/29/22,,36.65,4/7/22
VRC,J,High,Night,3/29/22,NA,02:00,28.725,-77.5,Nutrient sample did not collect on SAS,,,3/29/22,,36.61,4/7/22
VRC,L,High,Day,3/29/22,36.6,14:00,29.07,-79.8,,,,3/29/22,,36.67,4/7/22
VRC,M,Low,Night,3/29/22,36.2,20:00,28.334,-74.6,,,,3/29/22,,36.67,4/7/22
VRC,N,High,Night,3/30/22,36.6,02:00,28.24,-77.2,,,,3/29/22,,36.66,4/7/22
VRC,O,Low,Night,3/30/20,36.6,20:00,28.12,-73.9,,,,3/29/22,,36.7,4/7/22
VRC,P,High,Night,3/31/20,36.6,02:00,28.32,-77.9,,,,3/29/22,,36.6,4/7/22
CRC,A,High,Night,3/29/22,36.5,01:00,29.145,-76.4,,,,3/29/22,,36.4,4/7/22
CRC,B,Low,Day,3/29/22,36.4,07:00,NA,NA,,,,3/29/22,,NA,NA
CPIT,A,High,Night,3/29/22,NA,01:00,28.927,-76.3,,,,3/29/22,,,
CPIT,B,Low,Day,3/29/22,35.8,07:00,29.182,-72.7,,,,3/29/22,,,
CPIT,C,High,Day,3/29/22,36.7,13:00,29.116,-73.5,,,,3/29/22,,,
CPIT_Bottom,,Mid,Day,3/29/22,36.7,15:00,29.89,-71.3,,,,3/29/22,,,
CRC,C,High,Day,3/29/22,36.4,13:00,29.48,-76.3,,,,3/29/22,,36.47,4/7/22
CSEEP,A,Mid,Night,3/30/22,36.2,04:00,26.745,-65.5,,,,3/29/22,,35.97,4/11/22
CSEEP,B,Low,Day,3/30/22,35.9,07:00,26.847,-64.2,,,,3/29/22,,35.88,4/11/22
C1,,Low,Day,3/30/22,36.6,07:00,26.72,-64.4,,,,3/29/22,,,
C2,,Low,Day,3/30/22,36.7,07:00,27.165,-62.5,,,,3/29/22,,,
C3,,Low,Day,3/30/22,36.7,07:00,27.243,-65.4,,,,3/29/22,,,
C4,,Low,Day,3/30/22,36.5,07:00,26.907,-64.5,,,,3/29/22,,,
C5,,Low,Day,3/30/22,36.4,07:00,26.836,-66.3,,,,3/29/22,,,
C6,,Low,Day,3/30/22,36.7,07:00,27.106,-72.7,,,,3/29/22,,,
C7,,Low,Day,3/30/22,36.6,07:00,26.998,-71.2,,,,3/29/22,,,
C8,,Low,Day,3/30/22,36.4,07:00,27.056,-66.3,,,,3/29/22,,,
C9,,Low,Day,3/30/22,36.4,07:00,26.93,-65.2,,,,3/29/22,,,
C10,,Low,Day,3/30/22,36.4,07:00,26.95,-66,,,,3/29/22,,,
C11,,Low,Day,3/30/22,36.6,07:00,26.89,-64.6,,,,3/29/22,,,
C12,,Low,Day,3/30/22,36.6,07:00,27.113,-67.4,,,,3/29/22,,,
C13,,Low,Day,3/30/22,36.5,07:00,26.999,-58,,,,3/29/22,,,
C14,,Low,Day,3/30/22,36.4,07:00,26.92,-66.4,,,,3/29/22,,,
C15,,Low,Day,3/30/22,36.7,07:00,26.923,-67.2,,,,3/29/22,,,
C16,,Low,Day,3/30/22,36.7,07:00,26.6,-64.3,,,,3/29/22,,,
C17,,Low,Day,3/30/22,36.6,07:00,26.548,-66.7,,,,3/29/22,,,
C18,,Low,Day,3/30/22,36.6,07:00,26.7,-69.2,,,,3/29/22,,,
C19,,Low,Day,3/30/22,36.5,07:00,26.725,-68.2,,,,3/29/22,,,
C20,,Low,Day,3/30/22,36.6,07:00,26.301,-66.3,,,,3/29/22,,,
CPIT,F,Low,Day,3/30/22,36.7,07:00,26.67,-74.1,,,,3/29/22,,,
CPIT,D,High,Night,3/30/22,36.6,01:00,25.104,-79.8,,,,3/29/22,,,
CPIT,E,Low,Night,3/29/22,34.1,19:00,25.07,-79.7,"Salinity might be low, check silicate",,,3/29/22,,,
CRC,D,High,Night,3/30/22,36.5,01:00,26.62,-76,,,,3/29/22,,36.68,4/7/22
CSEEP,C,Mid,Day,3/30/22,36.1,10:00,28.067,-66.1,,,,3/29/22,,35.94,4/11/22
CSEEP,D,High,Day,3/30/22,36.3,01:00,28.491,-70.6,,,,3/29/22,,36.21,4/11/22
C1,,High,Day,3/30/22,36.6,01:00,28.41,-75.1,,,,3/29/22,,,
C2,,High,Day,3/30/22,36.6,01:00,28.42,-77.1,,,,3/29/22,,,
C3,,High,Day,3/30/22,36.7,01:00,28.54,-76.8,,,,3/29/22,,,
C4,,High,Day,3/30/22,36.6,01:00,28.5,-75.4,,,,3/29/22,,,
C5,,High,Day,3/30/22,36.6,01:00,28.5,-76,,,,3/29/22,,,
C6,,High,Day,3/30/22,36.7,01:00,28.65,-76.3,,,,3/29/22,,,
C7,,High,Day,3/30/22,36.7,01:00,28.71,-76.5,,,,3/29/22,,,
C8,,High,Day,3/30/22,36.6,01:00,28.776,-76.2,,,,3/29/22,,,
C9,,High,Day,3/30/22,36.7,01:00,28.666,-76.4,,,,3/29/22,,,
C10,,High,Day,3/30/22,36.6,01:00,28.97,-75.9,,,,3/29/22,,,
C11,,High,Day,3/30/22,36.6,01:00,28.78,-75.5,,,,3/29/22,,,
C12,,High,Day,3/30/22,36.6,01:00,28.802,-75.7,,,,3/29/22,,,
C13,,High,Day,3/30/22,36.5,01:00,28.918,-74.3,,,,3/29/22,,,
C14,,High,Day,3/30/22,36.7,01:00,28.97,-76.3,,,,3/29/22,,,
C15,,High,Day,3/30/22,36.7,01:00,28.95,-76.9,,,,3/29/22,,,
C16,,High,Day,3/30/22,36.6,01:00,29.103,-77.1,,,,3/29/22,,,
C17,,High,Day,3/30/22,36.5,01:00,28.922,-74.4,,,,3/29/22,,,
C18,,High,Day,3/30/22,36.7,01:00,29.027,-75.8,,,,3/29/22,,,
C19,,High,Day,3/30/22,36.7,01:00,29.07,-76.3,,,,3/29/22,,,
C20,,High,Day,3/30/22,36.5,01:00,29.154,-75,,,,3/29/22,,,
CPIT_Bottom,B,High,Day,3/30/22,36.7,01:00,28.99,-71.5,,,,3/29/22,,,
CPIT,G,High,Day,3/30/22,36.7,01:00,29.055,-76.1,,,,3/29/22,,,
CRC,E,High,Day,3/30/22,36.6,01:00,27.78,-78.4,,,,3/29/22,,36.68,4/7/22
CSPRING_ROAD,,,Day,3/30/22,0.6,16:00,25.605,-29.7,Killed,25,,3/29/22,,0.387,4/7/22
CSEEP,E,Mid,Day,3/30/22,35.7,16:00,29.32,-76.6,,,,3/29/22,,35.98,4/11/22
CSPRING_BEACH,,Low,Day,3/30/22,13.9,18:00,26.074,-61,Killed,,,3/29/22,,13.75,4/7/22
CSEEP,F,Low,Night,3/30/22,33.9,19:00,28.435,-75,,,,3/29/22,,34.07,4/11/22
C1,,Low,Night,3/30/22,36.3,19:00,28.47,-77.8,,,,3/29/22,,36.14,
C2,,Low,Night,3/30/22,36.4,19:00,28.56,-77.2,,,,3/29/22,,36.19,
C3,,Low,Night,3/30/22,36.6,19:00,28.536,-75.7,,,,3/29/22,,36.44,
C4,,Low,Night,3/30/22,36.5,19:00,28.35,-78.1,,,,3/29/22,,35.05,
C5,,Low,Night,3/30/22,36.4,19:00,28.107,-77.9,,,,3/29/22,,35.94,
C6,,Low,Night,3/30/22,36.6,19:00,27.918,-77.5,,,,3/29/22,,36.39,
C7,,Low,Night,3/30/22,36.5,19:00,28.035,-77.3,,,,3/29/22,,36.23,
C8,,Low,Night,3/30/22,36.5,19:00,28.133,-77.5,,,,3/29/22,,34.21,
C9,,Low,Night,3/30/22,36.5,19:00,28.12,-76.5,,,,3/29/22,,36.23,
C10,,Low,Night,3/30/22,36.4,19:00,28.34,-77,,,,3/29/22,,36.19,
C11,,Low,Night,3/30/22,36.4,19:00,28.16,-76.7,,,,3/29/22,,36.14,
C12,,Low,Night,3/30/22,36.6,19:00,28.18,-75.9,,,,3/29/22,,36.34,
C13,,Low,Night,3/30/22,36.4,19:00,28.19,-73.9,,,,3/29/22,,36.18,
C14,,Low,Night,3/30/22,36.5,19:00,27.95,-77.2,,,,3/29/22,,36.34,
C15,,Low,Night,3/30/22,36.6,19:00,28.023,-77.2,,,,3/29/22,,36.5,
C16,,Low,Night,3/30/22,36.6,19:00,27.98,-75.9,,,,3/29/22,,36.39,
C17,,Low,Night,3/30/22,36.4,19:00,27.89,-77.1,,,,3/29/22,,36.24,
C18,,Low,Night,3/30/22,36.6,19:00,27.78,-78.2,,,,3/29/22,,36.44,
C19,,Low,Night,3/30/22,36.6,19:00,27.75,-78.8,,,,3/29/22,,36.49,
C20,,Low,Night,3/30/22,36.4,19:00,27.52,-78.6,,,,3/29/22,,36.2,
CRC,F,Low,Night,3/30/22,36.7,19:00,26.927,-78.1,,,,3/29/22,,36.62,4/7/22
CPIT,H,Low,Night,3/30/22,36.7,19:00,27.417,-80.6,,,,3/29/22,,,
CPIT_Bottom,C,Low,Night,3/30/22,36.7,19:00,27.03,-73.8,,,,3/29/22,,,
CSEEP,G,Mid,Night,3/30/22,36.2,22:00,28.112,-72.8,,,,3/29/22,,36.1,4/11/22
CSEEP,H,High,Night,3/31/22,36.1,01:00,27.663,-71.6,,,,3/29/22,,36.04,4/11/22
C1,,High,Night,3/31/22,36.5,01:00,27.53,-70.6,,,,3/29/22,,36.44,4/11/22
C2,,High,Night,3/31/22,36.6,01:00,27.87,-71.4,,,,3/29/22,,36.61,4/11/22
C3,,High,Night,3/31/22,36.7,01:00,27.837,-73.3,,,,3/29/22,,36.61,4/11/22
C4,,High,Night,3/31/22,36.6,01:00,27.56,-70.3,,,,3/29/22,,36.47,4/11/22
C5,,High,Night,3/31/22,36.6,01:00,27.516,-70.3,,,,3/29/22,,36.48,4/11/22
C6,,High,Night,3/31/22,36.7,01:00,27.605,-73,,,,3/29/22,,36.59,4/11/22
C7,,High,Night,3/31/22,36.6,01:00,27.47,-73.6,,,,3/29/22,,36.59,4/11/22
C8,,High,Night,3/31/22,36.4,01:00,27.47,-71.5,,,,3/29/22,,36.45,4/11/22
C9,,High,Night,3/31/22,36.6,01:00,27.373,-71.7,,,,3/29/22,,36.55,4/11/22
C10,,High,Night,3/31/22,36.5,01:00,27.37,-70.5,,,,3/29/22,,36.42,4/11/22
C11,,High,Night,3/31/22,36.6,01:00,27.31,-71.7,,,,3/29/22,,36.54,4/11/22
C12,,High,Night,3/31/22,36.6,01:00,27.459,-74.1,,,,3/29/22,,36.6,4/11/22
C13,,High,Night,3/31/22,36.6,01:00,27.29,-69.6,,,,3/29/22,,36.52,4/11/22
C14,,High,Night,3/31/22,36.6,01:00,27.21,-71,,,,3/29/22,,36.57,4/11/22
C15,,High,Night,3/31/22,36.7,01:00,27.26,-73.2,,,,3/29/22,,36.62,4/11/22
C16,,High,Night,3/31/22,36.7,01:00,27.05,-72.9,,,,3/29/22,,36.63,4/11/22
C17,,High,Night,3/31/22,36.6,01:00,27.156,-72.1,,,,3/29/22,,36.55,4/11/22
C18,,High,Night,3/31/22,36.7,01:00,27.1,-73.5,,,,3/29/22,,36.63,4/11/22
C19,,High,Night,3/31/22,36.6,01:00,27.06,-74.1,,,,3/29/22,,36.61,4/11/22
C20,,High,Night,3/31/22,36.6,01:00,26.71,-71,,,,3/29/22,,36.41,4/11/22
CPIT,I,High,Night,3/31/22,36.6,01:00,26.88,-77.8,,,,3/29/22,,,
CRC,G,High,Night,3/31/22,36.7,01:00,28.28,-77.6,,,,3/29/22,,36.69,4/7/22
CRC,H,Low,Day,3/31/22,36.6,07:00,28.165,-77.7,,,,3/29/22,,36.6,4/7/22
CPIT_Bottom,D,Low,Day,3/31/22,36.7,07:00,28.423,-74.1,,,,3/29/22,,,
CPIT,J,Low,Day,3/31/22,36.6,07:00,28.301,-75.1,,,,3/29/22,,,
CSPRING_BEACH2,,High,Day,3/31/22,2.78,15:00,29.38,-53,CSULB dug a pit with a piezometer and we grabbed water from it,25.09,,3/29/22,,2.965,4/7/22
CSPRING_ROAD,,,Day,3/30/22,0.6,16:00,25.605,-29.7,Fridge,25,,3/29/22,,0.391,4/7/22
CSPRING_BEACH,,Low,Day,3/30/22,13.9,18:00,26.074,-61,Fridge,,,3/29/22,,13.76,4/7/22
