CowTagID,PlateID,Top_Bottom,Placement,tile,group,total weight,boat weight,notes
C8,C8,Top,A,C8TA,RCOR,0.716,0.704,
V12,V12,Top,A,V12TA,RFIL,0.896,0.699,
V12,V12,Top,A,V12TA,SAND_MIX,1.229,0.609,
V18,V18,Top,B,V18TB,CYO,0.69,0.632,
V6,V6,Top,B,V6TB,CCA,0.682,0.613,
C6,C6,Top,B,C6TB,GFIL,0.876,0.654,
C15,C15,Top,B,C15TB,CCA,0.73,0.653,
C1,C1,Top,B,C1TB,RFIL,1.089,0.655,
C19,C19,Top,A,C19TA,CCA,0.675,0.665,
C5,C5,Top,A,C5A,SAND,0.773,0.623,
V11,V11,Top,A,V11TA,GFIL,0.983,0.634,
C5,C5,Top,A,C5TA,RFIL,0.92,0.677,
C10,C10,Top,B,C10TB,CCA,0.677,0.658,
V3,V3,Top,B,V3TB,GFIL,1.805,0.664,
C9,C9,Top,B,C9TB,SAND,0.809,0.674,
C18,C18,Top,A,C18TA,CYO,0.67,0.635,
V13,V13,Top,A,V13TA,SAND,1.024,0.724,
V11,V11,Top,A,V11TA,CCA,0.742,0.68,
C2,C2,Top,A,C2TA,GFIL,0.882,0.699,
V16,V16,Top,A,V16TA,RFIL,0.817,0.677,
V16,V16,Top,A,V16TA,GFIL,0.965,0.681,
C9,C9,Top,B,C9TB,GFIL,0.977,0.662,
C2,C2,Top,A,C2TA,SAND,1.075,0.639,
C10,C10,Top,B,C10TB,SAND,0.898,0.651,
V16,V16,Top,A,V16TA,CCA,0.765,0.66,
C18,C18,Top,A,C18TA,GFIL,0.847,0.699,
C5,C5,Top,A,C5TA,GFIL,0.83,0.687,
C10,C10,Top,B,C10TB,GFIL,0.881,0.661,
V13,V13,Top,A,V13TA,GFIL,1.334,0.677,
C3,C3,Top,B,C3TB,CCA,0.753,0.666,
C18,C18,Top,A,C18TA,SAND,0.924,0.662,
C9,C9,Top,B,C9TB,RFIL,0.726,0.653,
V11,V11,Top,A,V11TA,SAND,0.907,0.626,
C19,C19,Top,A,C19TA,SAND,1.109,0.677,
C3,C3,Top,B,C3TB,GFIL,0.868,0.701,
C19,C19,Top,A,C19TA,GFIL,0.923,0.672,
V3,V23,Bottom,B,V23BB,CCA,0.602,0.576,
V19,V39,Bottom,B,V39BB,GFIL,0.842,0.66,
V3,V23,Bottom,B,V23BB,RFIL,0.894,0.699,
C2,C22,Bottom,A,C22BA,SAND,0.967,0.701,
V5,V25,Bottom,A,V25BA,RFIL,0.874,0.681,
V3,V23,Bottom,B,V23BB,GFIL,0.771,0.681,
V2,V22,Bottom,B,V22BB,GFIL,0.99,0.7,
V19,C39,Bottom,B,C39BB,GFIL,0.819,0.69,
C7,C27,Bottom,A,C27BA,CCA,0.679,0.65,
V16,V36,Bottom,A,V36BA,RMUC,0.677,0.663,
V7,V27,Bottom,A,V27BA,RMUC,0.719,0.696,
V6,C26,Bottom,A,C26BA,SAND,0.906,0.727,
C13,C33,Bottom,A,C33BA,GFIL,0.759,0.651,
C8,C28,Bottom,B,C28BB,SAND,0.899,0.685,
V6,V26,Bottom,B,V26BB,RMUC,0.667,0.623,
C15,C35,Bottom,A,C35BA,GFIL,0.836,0.678,
V5,V25,Bottom,A,V25BA,GFIL,0.908,0.659,
C15,C35,Bottom,A,C35BA,CCA,0.727,0.655,
C7,C27,Bottom,B,C27BB,CCA,0.738,0.689,
C8,C28,Bottom,B,C28BB,GFIL,0.997,0.683,
V6,V26,Bottom,B,V26BB,CCA,0.666,0.602,
C6,C26,Bottom,A,C26BA,GFIL,0.887,0.71,
C7,C27,Bottom,B,C27BB,RMUC,0.726,0.695,
V19,V39,Bottom,B,V39BB,RMUC,0.796,0.729,/RCOR
C18,C38,Bottom,B,C38BB,RFIL,0.795,0.615,
C13,C33,Bottom,A,C33BA,CCA,0.683,0.66,
V7,V27,Bottom,A,V27BA,GFIL,0.877,0.704,
C19,C39,Bottom,B,C39BB,SAND,0.845,0.667,
V16,V36,Bottom,A,V36BA,CCA,0.709,0.668,
C16,C36,Bottom,A,C36BA,CCA,0.656,0.64,
C18,C38,Bottom,B,C38BB,GFIL,1.031,0.671,
V16,V36,Bottom,A,V36BA,GFIL,0.972,0.665,
V5,V25,Bottom,A,V25BA,CCA,0.734,0.677,
V19,V39,Bottom,B,V39BB,CCA,0.751,0.647,
V5,V25,Bottom,A,V25BA,RMUC,0.729,0.691,
C19,C39,Bottom,B,C39BB,RMUC,0.693,0.673,
C6,C26,Bottom,A,C26BA,RFIL,0.824,0.68,
V15,V35,Bottom,B,V35BB,CCA,0.699,0.653,
C7,C27,Bottom,B,C27BB,SAND,0.849,0.657,
V9,V9,Top,A,V9TA,RFIL,0.833,0.606,
C12,C32,Bottom,A,C32BA,GFIL,0.899,0.709,
C12,C32,Bottom,A,C32BA,SAND,0.827,0.69,
V9,V9,Top,A,V9TA,GFIL,0.992,0.67,
V9,V9,Top,A,V9TA,RCOR,0.73,0.641,
V18,V38,Bottom,B,V38BB,RCOR,0.718,0.676,
V8,V8,Top,A,V8TA,GFIL,1.013,0.72,
V11,V31,Bottom,B,V31BB,CCA,0.728,0.658,
V11,V31,Bottom,B,V31BB,GFIL,0.951,0.64,
V11,V31,Bottom,B,V31BB,GFIL,0.758,0.649,
V18,V38,Bottom,B,V38BB,CCA,0.708,0.647,
V2,V22,Bottom,B,V22BB,CCA,0.725,0.667,
C14,C14,Top,A,C14TA,SAND,0.745,0.674,
V3,V23,Bottom,B,V23BB,RMUC,0.709,0.662,
C16,C16,Top,B,C16TB,CCA,0.654,0.627,
V11,V31,Bottom,B,V31BB,RMUC,0.682,0.652,
C16,C36,Bottom,A,C36BA,GFIL,0.909,0.636,
C14,C14,Top,A,C14TA,GFIL,0.781,0.66,
V4,V4,Top,A,V4TA,SAND,0.748,0.629,
V18,V38,Bottom,B,V38BB,GFIL,1.032,0.735,
V1,V21,Bottom,B,V21BB,RMUC,0.807,0.733,
V9,V9,Top,A,V9TA,CCA,0.798,0.695,
V9,V29,Bottom,B,V29BB,CCA,0.765,0.641,
V9,V29,Bottom,B,V29BB,RFIL,0.812,0.66,
C17,C37,Bottom,B,C37BB,GFIL,1.098,0.664,
C12,C12,Top,B,C12TB,CCA,0.719,0.672,with CYO
C17,C37,Bottom,B,C37BB,RFIL,1.016,0.656,
V8,V8,Top,A,V8TA,RFIL,0.9,0.678,
C12,C12,Top,B,C12TB,GFIL,0.878,0.69,
C14,C14,Top,A,C14TA,CCA,0.669,0.654,
V1,V21,Bottom,B,V21BB,CCA,0.782,0.699,
C16,C16,Top,B,C16TB,GFIL,0.809,0.627,
V1,V21,Bottom,B,V21BB,GFIL,0.983,0.614,
C12,C12,Top,B,C12TB,SAND,0.797,0.674,
V14,V34,Bottom,B,V34BB,CCA,0.961,0.706,
V20,V40,Bottom,B,V40BB,CCA,0.789,0.644,
C11,C31,Bottom,A,C31BA,GFIL,0.858,0.689,
C9,C29,Bottom,A,C29BA,SAND,0.941,0.7,
V4,V24,Bottom,A,V24BA,CCA,0.763,0.716,
C1,C21,Bottom,A,C21BA,CCA,0.734,0.71,
C3,C23,Bottom,A,C23BB,SAND ,0.722,0.59,
C1,C31,Bottom,A,C31BA,SAND,0.883,0.668,
V4,V4,Top,A,V4TA,CCA,0.716,0.711,CYO
V15,V35,Bottom,B,V35BB,GFIL,1.079,0.697,
V4,V4,Top,A,V4TA,GFIL,0.748,0.57,
V4,V24,Bottom,A,V24BA,RMUC,0.642,0.635,
C16,C16,Top,B,C16TB,RFIL,0.79,0.637,
C10,C30,Bottom,B,C30BB,RFIL,0.713,0.657,
C14,C34,Bottom,B,C34BB,CCA,0.713,0.667,
V8,V8,Top,A,V8TA,CCA,0.677,0.655,
C10,C30,Bottom,B,C30BB,GFIL,0.823,0.688,
C3,C23,Bottom,B,C23BB,CCA,0.671,0.626,
C16,C16,Top,B,C16TB,SAND,0.92,0.621,
C14,C34,Bottom,B,C34BB,RCOR,0.673,0.671,
C20,C40,Bottom,A,C40BA,CCA,0.651,0.592,
V13,V33,Bottom,B,V33BB,CCA,0.685,0.666,
V8,V28,Bottom,B,V28BB,RMUC,0.689,0.681,
C11,C31,Bottom,A,C31BA,RFIL,0.751,0.642,
V12,V32,Bottom,A,V32BA,RMUC,0.724,0.663,
C4,C24,Bottom,A,C24BA,CCA,0.814,0.714,
V13,V33,Bottom,B,V33BB,GFIL,0.778,0.67,
V8,V28,Bottom,B,V28BB,CCA,0.756,0.694,
V17,V37,Bottom,A,V37BA,CCA,0.782,0.622,
C5,C25,Bottom,A,C25BA,SAND,0.676,0.629,
C9,C29,Bottom,A,C29BA,GFIL,0.772,0.619,
V8,V28,Bottom,B,V28BB,GFIL,0.739,0.676,
C7,C27,Bottom,B,C27BB,GFIL,0.775,0.668,
C14,C34,Bottom,B,C34BB,GFIL,0.716,0.636,
C10,C30,Bottom,B,C30BB,CCA,0.72,0.658,
C9,C29,Bottom,A,C29BA,RFIL,0.869,0.692,
C1,C21,Bottom,A,C21BA,GFIL,0.919,0.673,
C4,C24,Bottom,A,C24BA,RFIL,0.71,0.653,
C2,C22,Bottom,A,C22BA,GFIL,0.915,0.678,
V12,V32,Bottom,A,V32BA,GFIL,1.012,0.673,
C15,C35,Bottom,A,C35BA,RFIL,0.743,0.69,
C5,C25,Bottom,A,C25BA,GFIL,0.731,0.632,
C4,C24,Bottom,A,C24BA,SAND,0.73,0.673,
C2,C22,Bottom,A,C22BA,RMUC,0.629,0.621,
C5,C25,Bottom,A,C25BA,RCOR,0.672,0.667,
V13,V33,Bottom,B,V33BB,RMUC,0.668,0.655,
V10,V30,Bottom,A,V30BA,CCA,0.702,0.648,
V12,V32,Bottom,A,V32BA,CCA,0.738,0.691,
C3,C23,Bottom,B,C23BB,GFIL,0.841,0.705,
C5,C25,Bottom,A,C25BA,RFIL,0.714,0.633,
C11,C31,Bottom,A,C31BA,RCOR,0.68,0.676,
C1,C21,Bottom,A,C21BA,SAND,0.813,0.66,
V10,V30,Bottom,A,V30BA,GFIL,1.063,0.667,
