Location,CowTagID,del15N,C_N,N_percent,LiveCoral,DeadCoral,Rubble,Sand,lat,lon,dist_to_seep_m,Dist_CT_cm,Depth_cm,Tidal_diff,adj_CT_depth_cm,Chain1_m,Chain2_m,Chain3_m,meanRugosity
Cabral,C6,NA,NA,NA,28.44444444,52.88888889,0,18.66666667,-17.51653796,-149.913134,67.90986881,130,44.8,-0.9,130.9,0.77,0.51,0.96,0.367816092
Cabral,C7,NA,NA,NA,19.89795918,47.95918367,0,32.14285714,-17.51630402,-149.913229,76.31773751,94,45,3.9,90.1,1.1,1.23,1.02,0.550082102
Cabral,C8,NA,NA,NA,10.57692308,41.82692308,2.403846154,45.19230769,-17.51632397,-149.91291,42.46143981,96,41.1,-3.7,99.7,1.8,0.76,0.55,0.510673235
Cabral,C9,NA,NA,NA,26.7281106,60.36866359,9.677419355,3.225806452,-17.51639103,-149.913111,63.27483282,83,45.7,10.9,72.1,1.18,1.08,1.25,0.57635468
Cabral,CSEEP,NA,NA,NA,0,0,0,100,-17.516384,-149.912515,0,49.3,49.3,0,49.3,NA,NA,NA,NA
Varari,Sand_SGD_1,7.5,23.09677419,1.265165288,0,0.938967136,6.103286385,92.95774648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varari,Reef_SGD_1,4.3,30.72972973,0.997342986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.6,1.5,0.722495895
Varari,Reef_Ambient_1,4.1,31.44396552,0.937032998,24.29906542,56.07476636,5.140186916,14.48598131,NA,NA,NA,NA,NA,NA,NA,1.2,1.7,NA,0.714285714
Varari,Sand_Ambient_1,4.4,32.62621359,0.853249389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varari,Reef_SGD_2,4.4,25.40924092,1.155694561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,NA,0.837438424
Varari,Reef_Ambient_2,4.2,31.70833333,0.970659607,44.1314554,50.70422535,2.816901408,2.34741784,NA,NA,NA,NA,NA,NA,NA,1,1.2,NA,0.541871921
Varari,Sand_SGD_2,4.9,28.97637795,1.02394582,0,3.703703704,11.57407407,84.72222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varari,Sand_Ambient_2,4.5,30.34661355,0.979091902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varari,Reef_SGD_3,5.3,25.09090909,1.199261993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65,1.55,NA,0.78817734
Varari,Reef_Ambient_3,4.2,34.41395349,0.867495158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varari,Sand_Ambient_3,4.1,34.19815668,0.809097688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
