CowTagID,SeepCode,Day_Night,Tide,Date,Phosphate_umolL,Silicate_umolL,Nitrite_umolL,Ammonia_umolL,SLABsample_code,sample_label,Location,Notes_nutrients
V2,NA,Night,Low,3/21/2022,0.171589152,3.700915433,0.620575938,0.256344574,42,V02_L_N_3_21_2000,,
V3,NA,Night,Low,3/21/2022,0.165463464,1.382714454,0.458430097,0.466304701,43,V03_L_N_3_21_2000,,
V4,NA,Night,Low,3/21/2022,0.143373862,0.99334806,0.252300281,0.237262744,44,V04_L_N_3_21_2000,,
V5,NA,Night,Low,3/21/2022,0.162771874,2.390567731,0.3723549,0.470025058,45,V05_L_N_3_21_2000,,
V6,NA,Night,Low,3/21/2022,0.17033617,4.688002503,0.424090149,0.263965304,46,V06_L_N_3_21_2000,,
V7,NA,Night,Low,3/21/2022,0.167690987,3.509866323,0.379385126,0.239062917,47,V07_L_N_3_21_2000,,
V8,NA,Night,Low,3/21/2022,0.171403525,3.702299847,0.406694848,0.237502768,48,V08_L_N_3_21_2000,,
V9,NA,Night,Low,3/21/2022,0.148617822,1.543652563,0.244549007,0.224481519,49,V09_L_N_3_21_2000,,
V10,NA,Night,Low,3/21/2022,0.15502195,0.987118198,0.185062483,0.215540662,50,V10_L_N_3_21_2000,,
V11,NA,Night,Low,3/21/2022,0.173538235,3.202180346,0.411652058,0.240503055,51,V11_L_N_3_21_2000,,
V12,NA,Night,Low,3/21/2022,0.148385788,0.940740334,0.25716736,0.203179477,52,V12_L_N_3_21_2000,,
V13,NA,Night,Low,3/21/2022,0.157527914,1.252579552,0.34603662,0.242303228,53,V13_L_N_3_21_2000,,
V14,NA,Night,Low,3/21/2022,0.156135712,3.467295597,0.279610003,0.272426115,54,V14_L_N_3_21_2000,,
V15,NA,Night,Low,3/21/2022,0.179246262,4.175077174,0.529273138,0.242183216,55,V15_L_N_3_21_2000,,
V16,NA,Night,Low,3/21/2022,0.164999397,1.081950546,0.156671188,0.178217084,56,V16_L_N_3_21_2000,,
V17,NA,Night,Low,3/21/2022,0.149221109,2.725595881,0.344684654,0.248183791,57,V17_L_N_3_21_2000,,
V18,NA,Night,Low,3/21/2022,0.201475084,7.738904509,0.669156598,4.25986836,58,V18_L_N_3_21_2000,,
V19,NA,Night,Low,3/21/2022,0.187056048,0.739466183,0.37666396,0.179777417,59,V19_L_N_3_21_2000,,
V20,NA,Night,Low,3/21/2022,0.154279443,1.427015697,0.28925403,0.465584632,60,V20_L_N_3_21_2000,,
VSEEP,F2,Night,Mid,3/21/2022,1.685608624,319.4189341,12.43864977,0.331291758,87,V_Seep_F_2_3_21_2145,,
VSEEP,G,Night,Mid,3/21/2022,0.344222177,23.99296133,1.503680413,0.302128963,88,V_Seep_G_3_21_2300,,
VSEEP,H,Night,High,3/22/2022,0.214376154,3.096964894,1.25825344,1.27110185,89,V_Seep_H_3_22_0200,,
V1,NA,Night,High,3/22/2022,0.173399014,1.280613933,0.333959053,0.298588623,61,V01_H_N_3_22_0200,,
V2,NA,Night,High,3/22/2022,0.174559182,1.1272901,0.232831964,0.163935715,62,V02_H_N_3_22_0200,,
V3,NA,Night,High,3/22/2022,0.164024855,0.950777335,0.192002578,0.66846408,63,V03_H_N_3_22_0200,,
V4,NA,Night,High,3/22/2022,0.163003907,0.889170919,0.184431566,0.132552707,64,V04_H_N_3_22_0200,,
V5,NA,Night,High,3/22/2022,0.161890146,0.925165679,0.135219987,0.147074099,65,V05_H_N_3_22_0200,,
V6,NA,Night,High,3/22/2022,0.165834718,1.491044837,0.175148063,0.125652045,66,V06_H_N_3_22_0200,,
V7,NA,Night,High,3/22/2022,0.17558013,1.628447911,0.203178834,0.162075537,67,V07_H_N_3_22_0200,,
V8,NA,Night,High,3/22/2022,0.166345192,1.306225589,0.169830328,0.13123258,68,V08_H_N_3_22_0200,,
V9,NA,Night,High,3/22/2022,0.158827302,1.031073338,0.105927381,0.163515675,69,V09_H_N_3_22_0200,,
V10,NA,Night,High,3/22/2022,0.145601385,1.004769475,0.101060302,0.129792442,70,V10_H_N_3_22_0200,,
V11,NA,Night,High,3/22/2022,0.163467975,1.000616233,0.174607276,0.092888905,71,V11_H_N_3_22_0200,,
V12,NA,Night,High,3/22/2022,0.163143128,0.926550092,0.122962158,0.125171999,72,V12_H_N_3_22_0200,,
V13,NA,Night,High,3/22/2022,0.164488923,1.170206929,0.125666091,0.132612713,73,V13_H_N_3_22_0200,,
V14,NA,Night,High,3/22/2022,0.163235941,2.041695443,0.180736191,0.223881462,74,V14_H_N_3_22_0200,,
V15,NA,Night,High,3/22/2022,0.167134106,0.984003267,0.280331052,1.451119107,75,V15_H_N_3_22_0200,,
V16,NA,Night,High,3/22/2022,0.152701614,0.900592333,0.128910811,0.302008951,76,V16_H_N_3_22_0200,,
V17,NA,Night,High,3/22/2022,0.142213694,1.565803184,0.156130402,17.11922004,77,V17_H_N_3_22_0200,,
V18,NA,Night,High,3/22/2022,0.190514382,0.858814892,0.468645175,0.340527946,78,V18_H_N_3_22_0200,,
V19,NA,Night,High,3/22/2022,0.153954596,0.897477402,0.087270245,0.205279679,79,V19_H_N_3_22_0200,,
V20,NA,Night,High,3/22/2022,0.166438005,1.164669273,0.119176652,0.203599517,80,V20_H_N_3_22_0200,,
VSPRING,NA,Day,NA,3/26/2022,2.599125048,713.0571823,32.63479397,1.596933085,97,V_Spring_3_26_1630,,
VRC,A,Night,Mid,3/26/2022,0.163143128,3.38353856,0.463307649,0.288927697,98,VReefCrest_A_3_26_2000,,
VRC,B,Night,Mid,3/27/2022,0.16977929,2.891033335,0.423480234,0.235642589,99,VReefCrest_B_3_27_0200,,
VRC,C,Day,Mid,3/27/2022,0.158734489,3.675995984,0.417290839,0.571494785,100,VReefCrest_C_3_27_0800,,
VRC,D,Day,Mid,3/27/2022,0.1622614,3.309472419,0.426171276,0.594296971,101,VReefCrest_D_3_27_1400,,
VRC,G,Day,Mid,3/28/2022,0.20068617,2.159370619,0.581803177,0.405878908,102,VReefCrest_G_3_28_0800,,
VRC,H,Day,Mid,3/28/2022,0.164488923,0.887786505,0.419353971,0.265345437,103,VReefCrest_H_3_28_1400,,
VSEEP,I,Day,Low,3/28/2022,1.632472922,362.0551093,18.06521662,3.244931066,90,V_Seep_I_3_28_1700,,
VSEEP,J,Night,Low,3/28/2022,1.356167268,317.7756759,14.62960347,4.17850056,91,V_Seep_J_3_28_1800,,
VSEEP,K,Night,Low,3/28/2022,0.810377751,153.5596441,7.296705625,3.404006315,92,V_Seep_K_3_28_1900,,
VSEEP,L,Day,Low,3/29/2022,1.577527357,309.2760646,13.72479785,4.325574659,93,V_Seep_L_3_29_0700,,
VSEEP,M,Day,Low,3/29/2022,1.556087449,345.1656733,13.86780128,3.340640241,94,V_Seep_M_3_29_0800,,
VSEEP,N,Day,Mid,3/29/2022,0.990389445,189.8636089,9.485011122,1.533026959,95,V_Seep_N_3_29_0900,,
VSEEP,O,Day,High,3/29/2022,0.186100455,4.021024445,0.424243494,0.236324616,96,V_Seep_O_3_29_1100,,
VRC,K,Day,Low,3/29/2022,0.178642974,0.847984607,0.565387824,0.213200438,104,VReefCrest_K_3_29_0800,,
VRC,L,Day,High,3/29/2022,0.18273313,1.202340848,0.384785142,0.294709303,221,VReefCrest_L_3_29_1400,,
VRC,M,Night,Low,3/29/2022,0.116086706,0.930011127,0.413523381,0.02,105,VReefCrest_M_3_29_2000,,
VRC,N,Night,High,3/30/2022,0.18026721,0.97327406,0.49515164,0.221841266,106,VReefCrest_N_3_30_0200,,
VRC,O,Night,Low,3/30/2022,0.174976843,1.745776984,1.492810434,0.092468864,107,VReefCrest_O_3_30_2000,,
VRC,P,Night,High,3/31/2022,0.151541446,0.935202679,0.352885245,0.218900984,108,VReefCrest_P_3_31_0200,,
CRC,A,Night,High,3/29/2022,0.17754563,2.493573465,0.380194908,0.394289277,213,CReefCrest_A_3_29_0100,,
CPIT,A,Night,High,3/29/2022,0.336082936,21.18450595,1.102071205,1.210785787,200,CPit_A_3_29_0700,,
CRC,B,Day,Low,3/29/2022,0.208397608,3.656957761,0.472882313,0.522735588,214,CReefCrest_B_3_29_0700,,
CPIT,C,Day,High,3/29/2022,0.170355935,2.212090369,0.684511262,0.349952479,201,CPit_C_3_29_1300,,
CPIT_Bottom,NA,Day,Mid,3/29/2022,0.132541784,1.427580548,0.148652943,1.982530582,209,CPit_Bottom_A_3_29_1500,,
CRC,C,Day,High,3/29/2022,0.183279183,3.128565259,0.277179478,0.250076136,215,CReefCrest_C_3_29_1300,,
CSEEP,A,Night,Mid,3/30/2022,0.207259998,8.750703982,0.381783835,0.780932234,189,C_Seep_A_3_30_0400,,
CSEEP,B,Day,Low,3/30/2022,0.238066473,12.17463073,0.327407224,0.862670795,190,C_Seep_B_3_30_0700,,
C1,NA,Day,Low,3/30/2022,0.148525009,3.528902013,0.528879361,0.679145104,109,C01_L_D_3_30_0700,,
C2,NA,Day,Low,3/30/2022,0.193353907,2.489553321,0.74272746,0.62579999,110,C02_L_D_3_30_0700,,
C3,NA,Day,Low,3/30/2022,0.221940451,2.031658442,1.19186229,0.793396057,111,C03_L_D_3_30_0700,,
C4,NA,Day,Low,3/30/2022,0.23306099,4.971918459,0.345150242,0.912638604,112,C04_L_D_3_30_0700,,
C5,NA,Day,Low,3/30/2022,0.163166241,6.271296536,0.463260478,1.029704346,113,C05_L_D_3_30_0700,,
C6,NA,Day,Low,3/30/2022,0.192653088,1.269983588,0.50174782,0.599376603,114,C06_L_D_3_30_0700,,
C7,NA,Day,Low,3/30/2022,0.217452983,2.270458668,0.64298577,0.486637847,115,C07_L_D_3_30_0700,,
C8,NA,Day,Low,3/30/2022,0.211400898,5.348380409,0.632657745,0.815073939,116,C08_L_D_3_30_0700,,
C9,NA,Day,Low,3/30/2022,0.162210649,6.209320204,0.434659793,0.577978764,117,C09_L_D_3_30_0700,,
C10,NA,Day,Low,3/30/2022,0.167443654,6.167884599,0.343384767,0.894382275,118,C10_L_D_3_30_0700,,
C11,NA,Day,Low,3/30/2022,0.249897615,3.055256111,1.156297447,0.965451554,119,C11_L_D_3_30_0700,,
C12,NA,Day,Low,3/30/2022,0.277882817,2.035302755,1.973447265,0.92289297,120,C12_L_D_3_30_0700,,
C13,NA,Day,Low,3/30/2022,0.223050023,5.346609657,1.164595177,1.098402673,121,C13_L_D_3_30_0700,,
C14,NA,Day,Low,3/30/2022,0.206167893,5.100120929,0.72154938,1.017612492,122,C14_L_D_3_30_0700,,
C15,NA,Day,Low,3/30/2022,0.242252877,1.683631338,1.236714805,0.774708485,123,C15_L_D_3_30_0700,,
C16,NA,Day,Low,3/30/2022,0.217316469,2.831433014,0.648017372,0.826750876,124,C16_L_D_3_30_0700,,
C17,NA,Day,Low,3/30/2022,0.208761643,3.620834413,0.413738922,1.263361642,125,C17_L_D_3_30_0700,,
C18,NA,Day,Low,3/30/2022,0.263230402,2.854452794,1.167508209,1.09709865,126,C18_L_D_3_30_0700,,
C19,NA,Day,Low,3/30/2022,0.278201348,3.585773516,1.118251474,0.821060592,127,C19_L_D_3_30_0700,,
C20,NA,Day,Low,3/30/2022,0.152472709,3.923633066,0.238956958,0.880452934,128,C20_L_D_3_30_0700,,
CPIT,F,Day,Low,3/30/2022,0.209262192,1.714442429,0.493626637,0.681233712,204,CPit_F_3_30_0700,,
CPIT,D,Night,High,3/30/2022,0.21276603,1.162243098,0.76084714,0.593271402,202,CPit_D_3_30_0100,,
CPIT,E,Night,Low,3/30/2022,0.31333074,31.95889263,1.155502984,0.835819767,203,CPit_E_3_29_1900,,
CRC,D,Night,High,3/30/2022,0.164804399,1.208007256,0.231806786,0.02,216,CReefCrest_D_3_30_0100,,
CSEEP,C,Day,Mid,3/30/2022,0.159662403,10.89048113,0.305780163,0.352619799,191,C_Seep_C_3_30_1000,,
CSEEP,D,Day,High,3/30/2022,0.139959001,7.135777835,0.38354931,0.438803896,192,C_Seep_D_3_30_1300,,
C1,NA,Day,High,3/30/2022,0.147012182,3.416135441,0.429010275,0.637430379,129,C01_H_D_3_30_1300,,
C2,NA,Day,High,3/30/2022,0.17299519,1.892225965,0.596024152,0.545496725,130,C02_H_D_3_30_1300,,
C3,NA,Day,High,3/30/2022,0.198295633,1.196674441,1.061932841,0.329858663,131,C03_H_D_3_30_1300,,
C4,NA,Day,High,3/30/2022,0.155339486,3.071547033,0.443222344,0.259856312,132,C04_H_D_3_30_1300,,
C5,NA,Day,High,3/30/2022,0.180230389,1.968014166,0.535380107,0.564760708,133,C05_H_D_3_30_1300,,
C6,NA,Day,High,3/30/2022,0.211673925,0.922207826,0.539882066,0.349715384,134,C06_H_D_3_30_1300,,
C7,NA,Day,High,3/30/2022,0.201071401,0.881834672,0.592758024,0.480710468,135,C07_H_D_3_30_1300,,
C8,NA,Day,High,3/30/2022,0.161482579,2.299499007,0.553564493,0.270940512,136,C08_H_D_3_30_1300,,
C9,NA,Day,High,3/30/2022,0.187010543,1.006141487,0.596288973,0.248712839,137,C09_H_D_3_30_1300,,
C10,NA,Day,High,3/30/2022,0.139594965,3.184521033,0.455139296,0.248594291,138,C10_H_D_3_30_1300,,
C11,NA,Day,High,3/30/2022,0.193335654,2.355808932,0.760566364,0.274556213,139,C11_H_D_3_30_1300,,
C12,NA,Day,High,3/30/2022,0.206713946,1.807229852,0.811941669,0.328851008,140,C12_H_D_3_30_1300,,
C13,NA,Day,High,3/30/2022,0.146329616,4.128332038,0.642632675,0.298384278,141,C13_H_D_3_30_1300,,
C14,NA,Day,High,3/30/2022,0.183916245,1.144260171,0.493803185,0.276156605,142,C14_H_D_3_30_1300,,
C15,NA,Day,High,3/30/2022,0.19474629,1.736753909,0.740881325,0.275682415,143,C15_H_D_3_30_1300,,
C16,NA,Day,High,3/30/2022,0.171630058,2.106841151,0.642897497,0.27200744,144,C16_H_D_3_30_1300,,
C17,NA,Day,High,3/30/2022,0.138138825,4.435380496,0.381607288,0.242370543,145,C17_H_D_3_30_1300,,
C18,NA,Day,High,3/30/2022,0.207305503,1.283087156,0.780339677,0.229330308,146,C18_H_D_3_30_1300,,
C19,NA,Day,High,3/30/2022,0.187465587,1.537721344,0.671321634,0.256892622,147,C19_H_D_3_30_1300,,
C20,NA,Day,High,3/30/2022,0.144281918,3.225956638,0.32113979,0.18920195,148,C20_H_D_3_30_1300,,
CPIT_Bottom,B,Day,High,3/30/2022,0.188876223,2.222648354,0.150418417,0.208940123,210,CPit_Bottom_B_3_30_1300,,
CPIT,G,Day,High,3/30/2022,0.189922825,1.28662866,0.326789308,0.2334202,205,CPit_G_3_30_1300,,
CRC,E,Day,High,3/30/2022,0.181914051,2.231502116,0.240016242,0.062059662,217,CReefCrest_E_3_30_1300,,
CSPRING_ROAD,NA,Day,NA,3/30/2022,4.060162496,737.4880282,19.76572155,0.888929086,197,CSpringRoad_3_30_1600,,
CSEEP,E,Day,Mid,3/30/2022,0.122621827,8.253476721,0.169485541,0.07201766,193,C_Seep_E_3_30_1600,,
CSPRING_BEACH,NA,Day,Low,3/30/2022,3.96159998,603.3548484,18.17052717,0.441174847,198,CSpringBeach_1_3_30_1800,,
CSEEP,F,Night,Low,3/30/2022,0.388139962,42.28698281,1.723102998,0.34029085,194,C_Seep_F_3_30_1900,,
C1,NA,Night,Low,3/30/2022,0.150379507,6.538680142,2.51686028,0.629902607,149,C01_L_N_3_30_1900,,
C2,NA,Night,Low,3/30/2022,0.164667886,4.689660534,0.683768229,0.407507333,150,C02_L_N_3_30_1900,,
C3,NA,Night,Low,3/30/2022,0.205985875,1.671944372,0.952826524,0.417643151,151,C03_L_N_3_30_1900,,
C4,NA,Night,Low,3/30/2022,0.136910206,4.584123694,0.497598955,0.426297125,152,C04_L_N_3_30_1900,,
C5,NA,Night,Low,3/30/2022,0.173541243,4.80688434,0.639454822,0.382197423,153,C05_L_N_3_30_1900,,
C6,NA,Night,Low,3/30/2022,0.223596076,1.774293859,0.569806857,0.276393701,154,C06_L_N_3_30_1900,,
C7,NA,Night,Low,3/30/2022,0.181641025,4.329135355,0.700540235,0.358606453,155,C07_L_N_3_30_1900,,
C8,NA,Night,Low,3/30/2022,0.159707907,3.725308802,0.51242894,0.592026653,156,C08_L_N_3_30_1900,,
C9,NA,Night,Low,3/30/2022,0.18428028,3.896009329,0.744765368,0.350960133,157,C09_L_N_3_30_1900,,
C10,NA,Night,Low,3/30/2022,0.166670079,5.150764447,0.45452138,0.666178169,158,C10_L_N_3_30_1900,,
C11,NA,Night,Low,3/30/2022,0.20116241,4.713742766,0.842660923,0.516689661,159,C11_L_N_3_30_1900,,
C12,NA,Night,Low,3/30/2022,0.199205721,2.762373672,0.94037993,0.303778193,160,C12_L_N_3_30_1900,,
C13,NA,Night,Low,3/30/2022,0.177409116,5.229031701,0.842396102,0.391562682,161,C13_L_N_3_30_1900,,
C14,NA,Night,Low,3/30/2022,0.185144863,2.694022631,0.635217683,0.271296154,162,C14_L_N_3_30_1900,,
C15,NA,Night,Low,3/30/2022,0.207214494,1.546220955,0.83047915,0.371172497,163,C15_L_N_3_30_1900,,
C16,NA,Night,Low,3/30/2022,0.206076884,2.612922173,0.732318774,0.331044139,164,C16_L_N_3_30_1900,,
C17,NA,Night,Low,3/30/2022,0.185372385,4.369508508,0.530171957,0.325531676,165,C17_L_N_3_30_1900,,
C18,NA,Night,Low,3/30/2022,0.211992455,1.345063488,0.663200452,0.203546208,166,C18_L_N_3_30_1900,,
C19,NA,Night,Low,3/30/2022,0.236519323,1.379416084,0.605204618,0.269458667,167,C19_L_N_3_30_1900,,
C20,NA,Night,Low,3/30/2022,0.129219964,5.129515419,0.424508315,0.253158373,168,C20_L_N_3_30_1900,,
CRC,F,Night,Low,3/30/2022,0.182096069,1.19632029,0.268616927,0.048248868,218,CReefCrest_F_3_30_1900,,
CPIT,H,Night,Low,3/30/2022,0.173541243,1.690360197,0.417622965,0.312669262,206,CPit_H_3_30_1900,,
CPIT_Bottom,C,Night,Low,3/30/2022,0.122212287,1.927286862,0.095159069,0.330155032,211,CPit_Bottom_C_3_30_1900,,
CSEEP,G,Night,Mid,3/30/2022,0.184871837,8.563004233,0.545796405,0.586810559,195,C_Seep_G_3_30_2200,,
CSEEP,H,Night,High,3/31/2022,0.238567021,8.679519737,0.367836588,0.189735414,196,C_Seep_H_3_31_0100,,
C1,NA,Night,High,3/31/2022,0.160709004,2.847369785,0.666643127,0.27935739,169,C01_H_N_3_31_0100,,
C2,NA,Night,High,3/31/2022,0.191378965,1.23350609,0.764803503,0.513607424,170,C02_H_N_3_31_0100,,
C3,NA,Night,High,3/31/2022,0.208443113,1.186404077,0.908071749,0.446628037,171,C03_H_N_3_31_0100,,
C4,NA,Night,High,3/31/2022,0.143462839,3.128565259,0.456639949,0.2248255,172,C04_H_N_3_31_0100,,
C5,NA,Night,High,3/31/2022,0.153064266,3.03152803,0.422036651,1.135152426,173,C05_H_N_3_31_0100,,
C6,NA,Night,High,3/31/2022,0.219773707,1.238464196,0.730729847,0.27372638,174,C06_H_N_3_31_0100,,
C7,NA,Night,High,3/31/2022,0.173632252,1.486369526,0.672204371,0.641460997,175,C07_H_N_3_31_0100,,
C8,NA,Night,High,3/31/2022,0.183825236,3.319098212,0.394671798,1.471531206,176,C08_H_N_3_31_0100,,
C9,NA,Night,High,3/31/2022,0.193927211,1.927995163,0.618975319,0.1424942,177,C09_H_N_3_31_0100,,
C10,NA,Night,High,3/31/2022,0.179911858,4.314615185,0.479502842,0.282380354,178,C10_H_N_3_31_0100,,
C11,NA,Night,High,3/31/2022,0.206577433,2.201399326,0.86799548,0.14670264,179,C11_H_N_3_31_0100,,
C12,NA,Night,High,3/31/2022,0.210945854,1.332314071,0.855548886,0.151207448,180,C12_H_N_3_31_0100,,
C13,NA,Night,High,3/31/2022,0.205439823,2.834266218,0.764626955,0.225181143,181,C13_H_N_3_31_0100,,
C14,NA,Night,High,3/31/2022,0.189240259,1.949598342,0.554535504,0.265309501,182,C14_H_N_3_31_0100,,
C15,NA,Night,High,3/31/2022,0.213994649,1.070596873,0.755534762,0.172605288,183,C15_H_N_3_31_0100,,
C16,NA,Night,High,3/31/2022,0.189376772,1.312127494,0.509427633,0.228204106,184,C16_H_N_3_31_0100,,
C17,NA,Night,High,3/31/2022,0.181595521,2.110028505,0.381695562,0.448346977,185,C17_H_N_3_31_0100,,
C18,NA,Night,High,3/31/2022,0.205075788,1.085825343,0.650489036,0.22826338,186,C18_H_N_3_31_0100,,
C19,NA,Night,High,3/31/2022,0.21877261,1.020307506,0.626037216,0.285403317,187,C19_H_N_3_31_0100,,
C20,NA,Night,High,3/31/2022,0.172540146,2.675960957,0.321051517,0.212733646,188,C20_H_N_3_31_0100,,
CPIT,I,Night,High,3/31/2022,0.184371289,1.40703982,0.376399138,0.292101256,207,CPit_I_3_31_0100,,
CRC,G,Night,High,3/31/2022,0.176271507,1.118761337,0.29739416,0.092882035,219,CReefCrest_G_3_31_0100,,
CRC,H,Day,Low,3/31/2022,0.198705172,2.361475339,0.373927474,0.182978202,220,CReefCrest_H_3_31_0700,,
CPIT_Bottom,D,Day,Low,3/31/2022,0.180639928,2.530759264,0.410737615,0.661673361,212,CPit_Bottom_D_3_31_0700,,
CPIT,J,Day,Low,3/31/2022,0.158888828,1.464766347,0.317697115,0.212140908,208,CPit_J_3_31_0700,,
CSPRING_BEACH2,NA,Day,High,3/31/2022,1.847374852,650.7339043,32.49964691,5.412764305,199,CSpringBeach_2_3_31_1600,,
