CowTagID,SeepCode,Tide,Day_Night,Date,Salinity_In_Lab,SamplingTime,TempInLab,mV,Salinity,TempInSitu,TA,TrisCalDate,No_Junk_Run,Notes,Salinity_Calibration_Date
V19,NA,Low,Night,8/8/21,36.52,18:30:00,25.79,-81.3,36.83,27.95,2317.13505,8/3/21,0,Bottle,10/1/21
V16,NA,Low,Night,8/8/21,36.4,18:30:00,25.69,-81,36.95,28.16,2340.260957,8/3/21,0,Bottle,10/1/21
C11,NA,High,Night,8/9/21,36.25,01:10:00,25.35,-75,36.76,27.84,2333.809095,8/3/21,0,NA,10/1/21
C13,NA,High,Night,8/9/21,36.23,01:10:00,24.64,-71.1,36.74,27.37,2332.698308,8/3/21,0,NA,10/1/21
C4,NA,High,Night,8/9/21,36.04,01:10:00,24.52,-74.4,36.6,28.22,2332.179498,8/3/21,0,NA,10/1/21
C6,NA,High,Night,8/9/21,36.27,01:10:00,24.66,-77.2,36.9,27.33,2349.526066,8/3/21,0,NA,10/1/21
C1,NA,High,Night,8/9/21,36.17,01:10:00,24.51,-72,36.71,27.2,2362.354403,8/3/21,1,NA,10/1/21
C20,NA,High,Night,8/9/21,36.03,01:10:00,24.5,-72.9,36.66,27.4,2358.638678,8/3/21,0,NA,10/1/21
C8,NA,High,Night,8/9/21,36.17,01:10:00,24.35,-74.5,36.69,27.54,2340.849593,8/3/21,0,NA,10/1/21
C5,NA,High,Night,8/9/21,36.23,01:10:00,24.4,-75.3,36.71,27.36,2338.53947,8/3/21,0,NA,10/1/21
C18,NA,High,Night,8/9/21,36.39,01:10:00,24.54,-74.4,36.88,27.51,2331.225606,8/3/21,0,NA,10/1/21
C9,NA,High,Night,8/9/21,36.25,01:10:00,24.49,-75.7,36.88,27.41,2342.010526,8/3/21,0,NA,10/1/21
C10,NA,High,Night,8/9/21,36.19,01:10:00,24.18,-73.5,36.69,27.6,2351.076783,8/3/21,0,NA,10/1/21
C16,NA,High,Night,8/9/21,36.19,01:10:00,24.1,-73.2,36.95,27.4,2352.743261,8/3/21,1,NA,10/1/21
C12,NA,High,Night,8/9/21,36.26,01:10:00,24.18,-74.8,36.93,27.46,2358.438339,8/3/21,0,NA,10/1/21
C19,NA,High,Night,8/9/21,36.39,01:10:00,24.28,-76.7,36.92,27.52,2352.865808,8/3/21,0,NA,10/1/21
C17,NA,High,Night,8/9/21,36.22,01:10:00,23.45,-74.8,36.62,27.26,2316.399031,8/3/21,0,NA,10/1/21
C2,NA,High,Night,8/9/21,36.16,01:10:00,23.98,-73.3,36.8,NA,2370.08551,8/3/21,1,NA,10/1/21
C3,NA,High,Night,8/9/21,36.17,01:10:00,23.97,-73.7,36.83,27.44,2334.438397,8/3/21,0,NA,10/1/21
C1,NA,Low,Day,8/9/21,36.13,07:00:00,25.27,-64.7,36.75,26.49,2330.112996,8/3/21,0,bottle,10/19/21
C2,NA,Low,Day,8/9/21,36.1,07:00:00,25.24,-65.7,36.48,NA,2321.697004,8/3/21,0,bottle,10/19/21
C3,NA,Low,Day,8/9/21,36.12,07:00:00,25.1,-67.4,36.67,26.69,2335.44423,8/3/21,0,bottle,10/19/21
C4,NA,Low,Day,8/9/21,36.02,07:00:00,25.15,-68.2,36.6,27.27,NA,8/3/21,NA,bottle,10/19/21
C5,NA,Low,Day,8/9/21,36.08,07:00:00,25.74,-70.4,36.62,26.35,2297.262529,8/3/21,0,bottle,10/19/21
C6,NA,Low,Day,8/9/21,36.43,07:00:00,25.65,-75.6,36.98,27.28,2339.371618,8/3/21,0,bottle,10/19/21
C8,NA,Low,Day,8/9/21,36.2,07:00:00,25.82,-71.7,36.67,27.25,2335.325393,8/3/21,0,bottle,10/19/21
C9,NA,Low,Day,8/9/21,36.23,07:00:00,25.71,-74.5,36.77,27.18,2346.880489,8/3/21,0,bottle,10/19/21
C10,NA,Low,Day,8/9/21,36.21,07:00:00,25.92,-69.3,36.72,27.17,2312.219741,8/3/21,0,bottle,10/19/21
C11,NA,Low,Day,8/9/21,36.28,07:00:00,25.86,-73.5,36.8,27.62,2326.856393,8/3/21,0,bottle,10/19/21
C12,NA,Low,Day,8/9/21,36.19,07:00:00,25.89,-74.1,36.8,27.19,2358.511584,8/3/21,0,bottle,10/19/21
C13,NA,Low,Day,8/9/21,36.25,07:00:00,25.77,-66,36.74,26.62,2307.644199,8/3/21,0,bottle,NA
C16,NA,Low,Day,8/9/21,35.89,07:00:00,25.18,-66.8,36.24,26.73,2316.467349,8/3/21,0,bottle,10/19/21
C18,NA,Low,Day,8/9/21,36.26,07:00:00,25.4,-75.2,36.67,26.89,2304.675049,8/3/21,0,bottle,10/19/21
C17,NA,Low,Day,8/9/21,36,07:00:00,25.18,-67.6,36.44,26.57,2347.220464,8/3/21,0,bottle,10/19/21
C19,NA,Low,Day,8/9/21,36.22,07:00:00,25.41,-74.6,36.75,26.95,2340.570692,8/3/21,0,bottle,10/19/21
C20,NA,Low,Day,8/9/21,36.14,07:00:00,25.91,-67.2,36.59,26.35,2345.786101,8/3/21,0,bottle,10/19/21
CSEEP,A,Low,Night,8/8/21,32.75,19:00:00,24.68,-68.9,32.85,27.75,NA,8/3/21,NA,NA,10/1/21
CSEEP,E,Low,Day,8/9/21,9.058,07:00:00,21.238,-50.4,NA,26.9,2131.983254,8/3/21,NA,"refridgerated, has HgCl counterpart, CRM 1.06% (filtered)",10/1/21
CSEEP,B,Mid,Night,8/8/21,35.72,22:00:00,27.3,-69.2,36.3,27.68,2279.452864,8/3/21,0,NA,10/1/21
CSEEP,E,Low,Day,8/9/21,9.073,07:00:00,24.31,-39.5,9.78,26.9,2118.700716,8/3/21,0,"bottle, CRM 1.06% fixed",10/1/21
CSEEP,G,High,Day,8/9/21,35.45,13:00:00,26.69,-79.9,36.36,27.55,2297.607256,8/3/21,0,bottle,10/1/21
CSEEP,C,High,Night,8/9/21,35.76,01:00:00,26.83,-71.5,36.51,27.28,2311.939864,8/3/21,0,NA,10/1/21
CSEEP,D,Mid,Night,8/9/21,35.12,04:00:00,25.4,-69.2,35.81,27.15,2326.731526,8/3/21,0,NA,10/1/21
C6,NA,High,Day,8/9/21,36.38,13:00:00,27.69,-77.3,37,27.36,2354.284492,8/3/21,0,NA,10/1/21
C1,NA,High,Day,8/9/21,36.17,13:00:00,28.81,-76.5,37.12,27.57,2326.486827,8/3/21,1,NA,10/1/21
C16,NA,High,Day,8/9/21,36.19,13:00:00,27.34,-79.7,36.89,27.61,2317.184011,8/3/21,0,NA,10/1/21
C3,NA,High,Day,8/9/21,36.24,13:00:00,28.74,-78.1,36.98,27.55,2314.332404,8/3/21,0,NA,10/1/21
C20,NA,High,Day,8/9/21,36.17,13:00:00,28.16,-76.9,36.83,27.71,2306.803054,8/3/21,0,NA,10/1/21
C19,NA,High,Day,8/9/21,36.36,13:00:00,27.52,-77,36.82,27.56,2377.895232,8/3/21,0,NA,10/1/21
C17,NA,High,Day,8/9/21,36.16,13:00:00,27.46,-79.4,36.68,27.62,2305.71045,8/3/21,0,NA,10/1/21
C18,NA,High,Day,8/9/21,36.36,13:00:00,25.57,-77.6,36.99,27.56,2358.186363,8/3/21,1,NA,10/1/21
C12,NA,High,Day,8/9/21,36.33,13:00:00,27.21,-78.2,36.87,27.47,2352.554931,8/3/21,0,NA,10/1/21
C4,NA,High,Day,8/9/21,36.21,13:00:00,28.09,-77.4,36.82,28.5,2308.999155,8/3/21,0,NA,10/1/21
C5,NA,High,Day,8/9/21,36.34,13:00:00,27.2,-78.5,36.9,27.6,2318.556808,8/3/21,0,NA,10/1/21
C15,NA,High,Day,8/9/21,36.26,13:00:00,27.01,-79.5,36.81,27.45,2307.477973,8/3/21,0,NA,10/1/21
C13,NA,High,Day,8/9/21,36.12,13:00:00,27.43,-78.9,36.77,27.6,2257.212691,8/3/21,0,NA,10/1/21
C11,NA,High,Day,8/9/21,36.27,13:00:00,26.89,-78.3,36.91,27.88,2321.585477,8/3/21,0,NA,10/1/21
C8,NA,High,Day,8/9/21,36.18,13:00:00,26.83,-79,36.89,27.72,2328.092245,8/3/21,0,NA,10/1/21
C10,NA,High,Day,8/9/21,36.24,13:00:00,27.07,-78.9,36.89,27.79,2316.020239,8/3/21,0,NA,10/1/21
C9,NA,High,Day,8/9/21,36.27,13:00:00,26.64,-78.9,36.87,27.53,2339.634365,8/3/21,0,NA,10/1/21
C2,NA,High,Day,8/9/21,36.18,13:00:00,28.15,-79.4,37.27,NA,2294.598471,8/3/21,0,NA,10/1/21
C7,NA,High,Day,8/9/21,36.27,13:00:00,26.85,-78.4,36.98,27.43,2326.879723,8/3/21,0,NA,10/1/21
C14,NA,High,Day,8/9/21,36.28,13:00:00,26.45,-78.7,36.68,27.77,2289.657979,8/3/21,0,NA,10/1/21
CSEEP,E_bag,Low,Day,8/9/21,30.06,07:00:00,25.27,-66,30.52,26.9,2284.325233,8/3/21,0,NA,10/1/21
CSEEP,F,Mid,Day,8/9/21,35.71,10:00:00,26.03,-70.7,36.4,26.97,2302.3354,8/3/21,0,NA,10/1/21
C3,NA,Low,Night,8/9/21,36.12,19:00:00,24.85,-75.6,36.55,27.62,2305.413099,8/10/21,0,NA,10/1/21
C18,NA,Low,Night,8/9/21,35.99,19:00:00,25.38,-76.6,36.92,27.7,2311.484276,8/10/21,1,NA,10/1/21
C16,NA,Low,Night,8/9/21,35.96,19:00:00,25.34,-76.4,36.48,27.66,2276.492556,8/10/21,0,NA,10/1/21
C19,NA,Low,Night,8/9/21,36.13,19:00:00,25.34,-75.5,36.64,27.66,2306.758841,8/10/21,0,NA,10/1/21
C8,NA,Low,Night,8/9/21,35.98,19:00:00,25.33,-76.6,36.69,27.76,2312.706907,8/10/21,0,NA,10/1/21
C5,NA,Low,Night,8/9/21,35.81,19:00:00,25.6,-77.7,36.57,27.54,2295.946839,8/10/21,0,NA,10/1/21
C6,NA,Low,Night,8/9/21,36.17,19:00:00,25.39,-78.5,36.85,27.55,2314.273847,8/10/21,0,NA,10/1/21
C17,NA,Low,Night,8/9/21,36.1,19:00:00,25.57,-77.1,36.67,27.73,2263.189772,8/10/21,0,NA,10/1/21
C1,NA,Low,Night,8/9/21,35.9,19:00:00,25.24,-77,36.58,27.64,2312.326304,8/10/21,1,NA,10/1/21
C4,NA,Low,Night,8/9/21,36.08,19:00:00,25.07,-77.8,36.75,28.54,2288.776312,8/10/21,0,NA,10/1/21
C9,NA,Low,Night,8/9/21,36.25,19:00:00,25.43,-78.3,36.79,27.62,2306.082345,8/10/21,0,NA,10/1/21
C13,NA,Low,Night,8/9/21,35.3,19:00:00,25.22,-74,35.94,27.54,2245.939872,8/10/21,0,NA,10/1/21
C10,NA,Low,Night,8/9/21,36.04,19:00:00,25.36,-76.6,36.73,27.9,2290.405857,8/10/21,0,NA,10/1/21
C2,NA,Low,Night,8/9/21,36.01,19:00:00,25.29,-76,36.49,NA,2259.851026,8/10/21,0,NA,10/1/21
C20,NA,Low,Night,8/9/21,36.15,19:00:00,25.39,-77.5,36.7,27.83,2290.804761,8/10/21,0,NA,10/1/21
C11,NA,Low,Night,8/9/21,36.17,19:00:00,25.09,-77.7,36.77,28.02,2333.475013,8/10/21,0,NA,10/1/21
CSEEP,G,High,Day,8/9/21,36.18,13:00:00,24.95,-78.2,36.58,27.55,2319.275838,8/10/21,0,bag,10/1/21
CSEEP,H,Mid,Day,8/9/21,35.49,16:10:00,24.95,-79.7,36.27,27.83,2278.06445,8/10/21,0,NA,10/1/21
CSEEP,I,Low,Night,8/9/21,31.23,19:00:00,24.87,-73.7,31.85,27.55,2305.105825,8/10/21,0,NA,10/1/21
CSEEP,J,Mid,Night,8/9/21,35.54,22:20:00,25.02,-72.6,36.1,27.42,2331.098909,8/10/21,0,NA,10/1/21
CSEEP,K,High,Night,8/10/21,35.71,01:20:00,24.88,-70.7,36.39,26.96,2330.321073,8/10/21,0,NA,10/1/21
CSEEP,L,Mid,Night,8/10/21,35.46,04:20:00,24.8,-67.7,36.17,26.59,2313.733001,8/10/21,0,NA,10/1/21
C7,NA,Low,Day,8/10/21,36.26,07:00:00,25.86,-75.7,36.94,27.17,NA,8/10/21,NA,bottle,10/19/21
C14,NA,Low,Day,8/10/21,36.11,07:00:00,25.6,-69.9,36.69,26.76,2306.582317,8/10/21,0,bottle,10/19/21
C15,NA,Low,Day,8/10/21,36.21,07:00:00,25.8,-70.6,36.95,26.78,2292.997625,8/10/21,0,bottle,10/19/21
